Active addresses,Blocks count,Block time,CHAIN,Date(UTC),Value
1304.0,5075,17.02463054187192,Ethereum,2015-11-18T00:00:00Z,7373.0
1280.0,4977,17.359855334538878,Ethereum,2015-11-19T00:00:00Z,8876.0
1068.0,4721,18.301207371319634,Ethereum,2015-11-20T00:00:00Z,6348.0
1097.0,5035,17.159880834160873,Ethereum,2015-11-21T00:00:00Z,6822.0
1027.0,5049,17.112299465240643,Ethereum,2015-11-22T00:00:00Z,7083.0
1137.0,5089,16.977795244645314,Ethereum,2015-11-23T00:00:00Z,8260.0
1127.0,5001,17.276544691061787,Ethereum,2015-11-24T00:00:00Z,7152.0
1123.0,4940,17.489878542510123,Ethereum,2015-11-25T00:00:00Z,7098.0
1140.0,4940,17.489878542510123,Ethereum,2015-11-26T00:00:00Z,7278.0
1030.0,5174,16.698879010436798,Ethereum,2015-11-27T00:00:00Z,6639.0
1047.0,5008,17.252396166134186,Ethereum,2015-11-28T00:00:00Z,6817.0
1078.0,5050,17.10891089108911,Ethereum,2015-11-29T00:00:00Z,6853.0
1006.0,5080,17.007874015748033,Ethereum,2015-11-30T00:00:00Z,8986.0
982.0,5078,17.014572666404096,Ethereum,2015-12-01T00:00:00Z,6794.0
938.0,4824,17.91044776119403,Ethereum,2015-12-02T00:00:00Z,6502.0
1000.0,5205,16.59942363112392,Ethereum,2015-12-03T00:00:00Z,6971.0
965.0,5008,17.252396166134186,Ethereum,2015-12-04T00:00:00Z,6898.0
994.0,5006,17.25928885337595,Ethereum,2015-12-05T00:00:00Z,6784.0
1314.0,4913,17.585996336250762,Ethereum,2015-12-06T00:00:00Z,9103.0
1290.0,4971,17.380808690404344,Ethereum,2015-12-07T00:00:00Z,7141.0
1120.0,4911,17.593158216249236,Ethereum,2015-12-08T00:00:00Z,6697.0
1107.0,5208,16.589861751152075,Ethereum,2015-12-09T00:00:00Z,7001.0
1093.0,5144,16.796267496111977,Ethereum,2015-12-10T00:00:00Z,7444.0
1134.0,5062,17.068352429869616,Ethereum,2015-12-11T00:00:00Z,8105.0
1510.0,5076,17.02127659574468,Ethereum,2015-12-12T00:00:00Z,8205.0
1288.0,5280,16.363636363636363,Ethereum,2015-12-13T00:00:00Z,7426.0
1511.0,4999,17.283456691338266,Ethereum,2015-12-14T00:00:00Z,15550.0
1487.0,5070,17.041420118343197,Ethereum,2015-12-15T00:00:00Z,21098.0
1496.0,4982,17.34243275792854,Ethereum,2015-12-16T00:00:00Z,10304.0
1672.0,5060,17.07509881422925,Ethereum,2015-12-17T00:00:00Z,9612.0
1479.0,5020,17.211155378486055,Ethereum,2015-12-18T00:00:00Z,9032.0
1532.0,5038,17.149662564509725,Ethereum,2015-12-19T00:00:00Z,9314.0
1494.0,4947,17.465130382049725,Ethereum,2015-12-20T00:00:00Z,9879.0
1570.0,4976,17.363344051446944,Ethereum,2015-12-21T00:00:00Z,12063.0
