Date(UTC),PRICE,TOKEN
2017-04-29,71.316146461692,Ethereum (ETH)
2017-04-30,73.57202616857367,Ethereum (ETH)
2017-05-01,80.64688228649763,Ethereum (ETH)
2017-05-02,78.50166809501145,Ethereum (ETH)
2017-05-03,79.01729335338452,Ethereum (ETH)
2017-05-04,87.61181934164868,Ethereum (ETH)
2017-05-05,94.4466241430909,Ethereum (ETH)
2017-05-06,92.55488670685612,Ethereum (ETH)
2017-05-07,93.44331793892368,Ethereum (ETH)
2017-05-08,89.51183340742068,Ethereum (ETH)
2017-05-09,84.96130579933005,Ethereum (ETH)
2017-05-10,88.19160930719704,Ethereum (ETH)
2017-05-11,88.4315196529372,Ethereum (ETH)
2017-05-12,88.6659132502663,Ethereum (ETH)
2017-05-13,86.48315690587576,Ethereum (ETH)
2017-05-14,88.65151674043508,Ethereum (ETH)
2017-05-15,90.9335439320487,Ethereum (ETH)
2017-05-16,89.32725168948751,Ethereum (ETH)
2017-05-17,86.79232020122228,Ethereum (ETH)
2017-05-18,92.47345327905656,Ethereum (ETH)
2017-05-19,112.25982370691646,Ethereum (ETH)
2017-05-20,124.67517534575607,Ethereum (ETH)
2017-05-21,133.07558988543184,Ethereum (ETH)
2017-05-22,162.3985573738582,Ethereum (ETH)
2017-05-23,162.92156343380245,Ethereum (ETH)
2017-05-24,186.3460230661793,Ethereum (ETH)
2017-05-25,194.9188579852533,Ethereum (ETH)
2017-05-26,178.20989106323438,Ethereum (ETH)
2017-05-27,148.8227153213301,Ethereum (ETH)
2017-05-28,167.94353378735582,Ethereum (ETH)
2017-05-29,177.24864361567748,Ethereum (ETH)
2017-05-30,206.30039492660504,Ethereum (ETH)
2017-05-31,224.94849632543043,Ethereum (ETH)
2017-06-01,223.9219829541374,Ethereum (ETH)
2017-06-02,222.0385478611309,Ethereum (ETH)
2017-06-03,221.60215737488505,Ethereum (ETH)
2017-06-04,237.78209796763443,Ethereum (ETH)
2017-06-05,245.74160939024048,Ethereum (ETH)
2017-06-06,256.6081522280359,Ethereum (ETH)
2017-06-07,260.9394770058251,Ethereum (ETH)
2017-06-08,256.4463448811284,Ethereum (ETH)
2017-06-09,266.94156082903345,Ethereum (ETH)
2017-06-10,298.79582115289975,Ethereum (ETH)
2017-06-11,339.6791752866648,Ethereum (ETH)
2017-06-12,366.15499787331566,Ethereum (ETH)
2017-06-13,382.59066162404577,Ethereum (ETH)
2017-06-14,372.00802472671614,Ethereum (ETH)
2017-06-15,321.2162869877285,Ethereum (ETH)
2017-06-16,346.8187341075063,Ethereum (ETH)
2017-06-17,357.77717345716974,Ethereum (ETH)
2017-06-18,362.7521414608283,Ethereum (ETH)
2017-06-19,357.9344707966572,Ethereum (ETH)
2017-06-20,361.12120706640144,Ethereum (ETH)
2017-06-21,330.21656051176615,Ethereum (ETH)
2017-06-22,323.4579486923133,Ethereum (ETH)
2017-06-23,329.3139594452979,Ethereum (ETH)
2017-06-24,321.3092880347949,Ethereum (ETH)
2017-06-25,295.9831179524039,Ethereum (ETH)
2017-06-26,257.37422050024145,Ethereum (ETH)
2017-06-27,243.76859362802173,Ethereum (ETH)
2017-06-28,289.67752592282443,Ethereum (ETH)
2017-06-29,306.96871853335017,Ethereum (ETH)
2017-06-30,292.8918210395564,Ethereum (ETH)
2017-07-01,267.2064201193595,Ethereum (ETH)
