Date(UTC),send_amount,stable,tvl
2017-12-24T00:00:00+00:00,0.0,USDC,0.0
2017-12-24T00:00:00+00:00,0.0,USDT,0.0
2017-12-25T00:00:00+00:00,0.0,USDC,0.0
2017-12-25T00:00:00+00:00,0.0,USDT,0.0
2017-12-25T00:00:00+00:00,0.0,Other,0.0
2017-12-25T00:00:00+00:00,0.0,FRAX,0.0
2017-12-25T00:00:00+00:00,0.0,DAI,0.0
2017-12-25T00:00:00+00:00,0.0,BUSD,0.0
2017-12-26T00:00:00+00:00,0.0,BUSD,0.0
2017-12-26T00:00:00+00:00,0.0,DAI,0.0
2017-12-26T00:00:00+00:00,0.0,FRAX,0.0
2017-12-26T00:00:00+00:00,0.0,Other,0.0
2017-12-26T00:00:00+00:00,0.0,USDC,0.0
2017-12-26T00:00:00+00:00,0.0,USDT,0.0
2017-12-27T00:00:00+00:00,3.290016,USDT,0.0
2017-12-27T00:00:00+00:00,0.0,USDC,0.0
2017-12-27T00:00:00+00:00,0.0,Other,0.0
2017-12-27T00:00:00+00:00,0.0,DAI,0.0
2017-12-27T00:00:00+00:00,0.0,BUSD,0.0
2017-12-27T00:00:00+00:00,0.0,FRAX,0.0
2017-12-28T00:00:00+00:00,0.0,BUSD,0.0
2017-12-28T00:00:00+00:00,0.0,DAI,0.0
2017-12-28T00:00:00+00:00,0.0,FRAX,0.0
2017-12-28T00:00:00+00:00,0.0,Other,0.0
2017-12-28T00:00:00+00:00,0.0,USDC,0.0
2017-12-28T00:00:00+00:00,1671.195827,USDT,867.0
2017-12-29T00:00:00+00:00,0.0,USDC,0.0
2017-12-29T00:00:00+00:00,0.0,USDT,0.0
2017-12-29T00:00:00+00:00,0.0,Other,0.0
2017-12-29T00:00:00+00:00,0.0,FRAX,0.0
2017-12-29T00:00:00+00:00,0.0,DAI,0.0
2017-12-29T00:00:00+00:00,0.0,BUSD,0.0
2017-12-30T00:00:00+00:00,0.0,BUSD,0.0
2017-12-30T00:00:00+00:00,0.0,DAI,0.0
2017-12-30T00:00:00+00:00,0.0,FRAX,0.0
2017-12-30T00:00:00+00:00,0.0,Other,0.0
2017-12-30T00:00:00+00:00,0.0,USDC,0.0
2017-12-30T00:00:00+00:00,0.0,USDT,0.0
2017-12-31T00:00:00+00:00,867.0,USDT,0.0
2017-12-31T00:00:00+00:00,0.0,USDC,0.0
2017-12-31T00:00:00+00:00,0.0,Other,0.0
2017-12-31T00:00:00+00:00,0.0,FRAX,0.0
2017-12-31T00:00:00+00:00,0.0,DAI,0.0
2017-12-31T00:00:00+00:00,0.0,BUSD,0.0
2018-01-01T00:00:00+00:00,0.0,BUSD,0.0
2018-01-01T00:00:00+00:00,0.0,DAI,0.0
2018-01-01T00:00:00+00:00,0.0,FRAX,0.0
2018-01-01T00:00:00+00:00,0.0,Other,0.0
2018-01-01T00:00:00+00:00,0.0,USDC,0.0
2018-01-01T00:00:00+00:00,0.0,USDT,0.0
2018-01-02T00:00:00+00:00,0.0,USDC,0.0
2018-01-02T00:00:00+00:00,0.0,Other,0.0
2018-01-02T00:00:00+00:00,0.0,USDT,0.0
2018-01-02T00:00:00+00:00,0.0,DAI,0.0
2018-01-02T00:00:00+00:00,0.0,BUSD,0.0
2018-01-02T00:00:00+00:00,0.0,FRAX,0.0
2018-01-03T00:00:00+00:00,0.0,BUSD,0.0
2018-01-03T00:00:00+00:00,0.0,DAI,0.0
2018-01-03T00:00:00+00:00,0.0,FRAX,0.0
2018-01-03T00:00:00+00:00,0.0,Other,0.0
2018-01-03T00:00:00+00:00,0.0,USDC,0.0
2018-01-03T00:00:00+00:00,0.0,USDT,0.0
2018-01-04T00:00:00+00:00,0.0,USDT,0.0
2018-01-04T00:00:00+00:00,0.0,USDC,0.0
2018-01-04T00:00:00+00:00,0.0,Other,0.0
2018-01-04T00:00:00+00:00,0.0,FRAX,0.0
2018-01-04T00:00:00+00:00,0.0,DAI,0.0
2018-01-04T00:00:00+00:00,0.0,BUSD,0.0
2018-01-05T00:00:00+00:00,0.0,BUSD,0.0
2018-01-05T00:00:00+00:00,0.0,DAI,0.0
2018-01-05T00:00:00+00:00,0.0,FRAX,0.0
2018-01-05T00:00:00+00:00,0.0,Other,0.0
2018-01-05T00:00:00+00:00,0.0,USDC,0.0
2018-01-05T00:00:00+00:00,0.0,USDT,0.0
2018-01-06T00:00:00+00:00,0.0,USDC,0.0
2018-01-06T00:00:00+00:00,0.0,Other,0.0
2018-01-06T00:00:00+00:00,0.0,USDT,0.0
2018-01-06T00:00:00+00:00,0.0,DAI,0.0
2018-01-06T00:00:00+00:00,0.0,BUSD,0.0
2018-01-06T00:00:00+00:00,0.0,FRAX,0.0
2018-01-07T00:00:00+00:00,0.0,BUSD,0.0
2018-01-07T00:00:00+00:00,0.0,DAI,0.0
2018-01-07T00:00:00+00:00,0.0,FRAX,0.0
2018-01-07T00:00:00+00:00,0.0,Other,0.0
2018-01-07T00:00:00+00:00,0.0,USDC,0.0
2018-01-07T00:00:00+00:00,0.0,USDT,0.0
2018-01-08T00:00:00+00:00,0.0,USDC,0.0
2018-01-08T00:00:00+00:00,0.0,Other,0.0
2018-01-08T00:00:00+00:00,0.0,USDT,0.0
2018-01-08T00:00:00+00:00,0.0,DAI,0.0
2018-01-08T00:00:00+00:00,0.0,BUSD,0.0
2018-01-08T00:00:00+00:00,0.0,FRAX,0.0
2018-01-09T00:00:00+00:00,0.0,USDC,0.0
2018-01-09T00:00:00+00:00,0.0,Other,0.0
2018-01-09T00:00:00+00:00,0.0,USDT,0.0
2018-01-09T00:00:00+00:00,0.0,DAI,0.0
2018-01-09T00:00:00+00:00,0.0,BUSD,0.0
2018-01-09T00:00:00+00:00,0.0,FRAX,0.0
2018-01-10T00:00:00+00:00,0.0,BUSD,0.0
2018-01-10T00:00:00+00:00,0.0,DAI,0.0
2018-01-10T00:00:00+00:00,0.0,FRAX,0.0
2018-01-10T00:00:00+00:00,0.0,Other,0.0
2018-01-10T00:00:00+00:00,0.0,USDC,0.0
2018-01-10T00:00:00+00:00,0.0,USDT,0.0
2018-01-11T00:00:00+00:00,0.0,USDC,0.0
2018-01-11T00:00:00+00:00,0.0,Other,0.0
2018-01-11T00:00:00+00:00,0.0,USDT,0.0
2018-01-11T00:00:00+00:00,0.0,DAI,0.0
2018-01-11T00:00:00+00:00,0.0,BUSD,0.0
2018-01-11T00:00:00+00:00,0.0,FRAX,0.0
2018-01-12T00:00:00+00:00,0.0,BUSD,0.0
2018-01-12T00:00:00+00:00,0.0,DAI,0.0
2018-01-12T00:00:00+00:00,0.0,FRAX,0.0
2018-01-12T00:00:00+00:00,0.0,Other,0.0
2018-01-12T00:00:00+00:00,0.0,USDC,0.0
2018-01-12T00:00:00+00:00,0.0,USDT,0.0
2018-01-13T00:00:00+00:00,0.0,USDT,0.0
2018-01-13T00:00:00+00:00,0.0,USDC,0.0
2018-01-13T00:00:00+00:00,0.0,Other,0.0
2018-01-13T00:00:00+00:00,0.0,FRAX,0.0
2018-01-13T00:00:00+00:00,0.0,DAI,0.0
2018-01-13T00:00:00+00:00,0.0,BUSD,0.0
2018-01-14T00:00:00+00:00,0.0,BUSD,0.0
2018-01-14T00:00:00+00:00,0.0,DAI,0.0
2018-01-14T00:00:00+00:00,0.0,FRAX,0.0
2018-01-14T00:00:00+00:00,0.0,Other,0.0
2018-01-14T00:00:00+00:00,0.0,USDC,0.0
2018-01-14T00:00:00+00:00,0.0,USDT,0.0
2018-01-15T00:00:00+00:00,0.0,USDT,0.0
2018-01-15T00:00:00+00:00,0.0,USDC,0.0
2018-01-15T00:00:00+00:00,0.0,Other,0.0
2018-01-15T00:00:00+00:00,0.0,FRAX,0.0
2018-01-15T00:00:00+00:00,0.0,DAI,0.0
2018-01-15T00:00:00+00:00,0.0,BUSD,0.0
2018-01-16T00:00:00+00:00,0.0,BUSD,0.0
2018-01-16T00:00:00+00:00,0.0,DAI,0.0
2018-01-16T00:00:00+00:00,0.0,FRAX,0.0
2018-01-16T00:00:00+00:00,0.0,Other,0.0
2018-01-16T00:00:00+00:00,0.0,USDC,0.0
2018-01-16T00:00:00+00:00,0.0,USDT,0.0
2018-01-17T00:00:00+00:00,0.0,USDT,0.0
2018-01-17T00:00:00+00:00,0.0,USDC,0.0
2018-01-17T00:00:00+00:00,0.0,Other,0.0
2018-01-17T00:00:00+00:00,0.0,FRAX,0.0
2018-01-17T00:00:00+00:00,0.0,DAI,0.0
2018-01-17T00:00:00+00:00,0.0,BUSD,0.0
2018-01-18T00:00:00+00:00,0.0,BUSD,0.0
2018-01-18T00:00:00+00:00,0.0,DAI,0.0
2018-01-18T00:00:00+00:00,0.0,FRAX,0.0
2018-01-18T00:00:00+00:00,0.0,Other,0.0
2018-01-18T00:00:00+00:00,0.0,USDC,0.0
2018-01-18T00:00:00+00:00,0.0,USDT,0.0
2018-01-19T00:00:00+00:00,0.0,USDC,0.0
2018-01-19T00:00:00+00:00,0.0,Other,0.0
2018-01-19T00:00:00+00:00,0.0,USDT,0.0
2018-01-19T00:00:00+00:00,0.0,DAI,0.0
2018-01-19T00:00:00+00:00,0.0,BUSD,0.0
2018-01-19T00:00:00+00:00,0.0,FRAX,0.0
2018-01-20T00:00:00+00:00,0.0,BUSD,0.0
2018-01-20T00:00:00+00:00,0.0,DAI,0.0
2018-01-20T00:00:00+00:00,0.0,FRAX,0.0
2018-01-20T00:00:00+00:00,0.0,Other,0.0
2018-01-20T00:00:00+00:00,0.0,USDC,0.0
2018-01-20T00:00:00+00:00,0.0,USDT,0.0
2018-01-21T00:00:00+00:00,0.0,USDT,0.0
2018-01-21T00:00:00+00:00,0.0,USDC,0.0
2018-01-21T00:00:00+00:00,0.0,Other,0.0
2018-01-21T00:00:00+00:00,0.0,FRAX,0.0
2018-01-21T00:00:00+00:00,0.0,DAI,0.0
2018-01-21T00:00:00+00:00,0.0,BUSD,0.0
2018-01-22T00:00:00+00:00,0.0,BUSD,0.0
2018-01-22T00:00:00+00:00,0.0,DAI,0.0
2018-01-22T00:00:00+00:00,0.0,FRAX,0.0
2018-01-22T00:00:00+00:00,0.0,Other,0.0
2018-01-22T00:00:00+00:00,0.0,USDC,0.0
2018-01-22T00:00:00+00:00,55000593.054366,USDT,30000000.0
2018-01-23T00:00:00+00:00,0.0,USDC,0.0
2018-01-23T00:00:00+00:00,0.0,Other,0.0
2018-01-23T00:00:00+00:00,2000444.7299000002,USDT,0.0
2018-01-23T00:00:00+00:00,0.0,DAI,0.0
2018-01-23T00:00:00+00:00,0.0,BUSD,0.0
2018-01-23T00:00:00+00:00,0.0,FRAX,0.0
2018-01-24T00:00:00+00:00,0.0,BUSD,0.0
2018-01-24T00:00:00+00:00,0.0,DAI,0.0
2018-01-24T00:00:00+00:00,0.0,FRAX,0.0
2018-01-24T00:00:00+00:00,0.0,Other,0.0
2018-01-24T00:00:00+00:00,0.0,USDC,0.0
2018-01-24T00:00:00+00:00,1340515.775,USDT,0.0
2018-01-25T00:00:00+00:00,0.0,USDC,0.0
2018-01-25T00:00:00+00:00,0.0,Other,0.0
2018-01-25T00:00:00+00:00,4644738.716,USDT,0.0
2018-01-25T00:00:00+00:00,0.0,DAI,0.0
2018-01-25T00:00:00+00:00,0.0,BUSD,0.0
2018-01-25T00:00:00+00:00,0.0,FRAX,0.0
